Name:,Ricardo Amaral
Email:,rna5137@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Ti 27.72 Zr 39.6 Al19.8 Nb11.88 Si1,BCC+B2,AC,Arc melting. The ingots were re-melted five times.,compressive yield strength,EXP,strain rate 1e-3,298,1641000000.0,None,Pa,T1,10.1016/j.jmrt.2024.08.128
1,Ti 27.72 Zr 39.6 Al19.8 Nb11.88 Si1,BCC+B2,AC,Arc melting. The ingots were re-melted five times. Heat treatment was conducted at 1200 ◦C for 24h, followed by water quenching to room temperature.,ultimate compressive strength,EXP,strain rate 1e-3,298,2043000000.0,None,Pa,T1,10.1016/j.jmrt.2024.08.128
1,Ti 27.72 Zr 39.6 Al19.8 Nb11.88 Si1,BCC+B2,AC,Arc melting. The ingots were re-melted five times. Heat treatment was conducted at 1200 ◦C for 24h, followed by water quenching to room temperature.,compressive ductility,EXP,strain rate 1e-3,298,15.3,None,%,T1,10.1016/j.jmrt.2024.08.128
1,Ti 27.16 Zr38.8 Al19.4 Nb11.64 Si3,BCC+B2,AC,Arc melting. The ingots were re-melted five times. Heat treatment was conducted at 1200 ◦C for 24h, followed by water quenching to room temperature.,ultimate compressive strength,EXP,strain rate 1e-3,298,1957000000.0,None,Pa,T1,10.1016/j.jmrt.2024.08.128
1,Ti 27.16 Zr38.8 Al19.4 Nb11.64 Si3,BCC+B2,AC,Arc melting. The ingots were re-melted five times. Heat treatment was conducted at 1200 ◦C for 24h, followed by water quenching to room temperature.,compressive ductility,EXP,strain rate 1e-3,298,3.6,None,%,T1,10.1016/j.jmrt.2024.08.128
1,Ti26.6 Zr38 Al19 Nb11.4 Si5,BCC+B2,AC,Arc melting. The ingots were re-melted five times. Heat treatment was conducted at 1200 ◦C for 24h, followed by water quenching to room temperature.,ultimate compressive strength,EXP,strain rate 1e-3,298,1886000000.0,None,Pa,T1,10.1016/j.jmrt.2024.08.128
1,Ti26.6 Zr38 Al19 Nb11.4 Si5,BCC+B2,AC,Arc melting. The ingots were re-melted five times. Heat treatment was conducted at 1200 ◦C for 24h, followed by water quenching to room temperature.,compressive ductility,EXP,strain rate 1e-3,298,5.7,None,%,T1,10.1016/j.jmrt.2024.08.128
1,Ti25.2 Zr36 Al18 Nb10.8 Si10,BCC+B2,AC,Arc melting. The ingots were re-melted five times. Heat treatment was conducted at 1200 ◦C for 24h, followed by water quenching to room temperature.,ultimate compressive strength,EXP,strain rate 1e-3,298,1774000000.0,None,Pa,T1,10.1016/j.jmrt.2024.08.128
1,Ti25.2 Zr36 Al18 Nb10.8 Si10,BCC+B2,AC,Arc melting. The ingots were re-melted five times. Heat treatment was conducted at 1200 ◦C for 24h, followed by water quenching to room temperature.,compressive ductility,EXP,strain rate 1e-3,298,4.3,None,%,T1,10.1016/j.jmrt.2024.08.128
1,Ti 27.72 Zr 39.6 Al19.8 Nb11.88 Si1,BCC+B2,A+WQ,Arc melting. The ingots were re-melted five times. Heat treatment was conducted at 1200 ◦C for 24h, followed by water quenching to room temperature.,compressive yield strength,EXP,strain rate 1e-3,298,1659000000.0,None,Pa,T1,10.1016/j.jmrt.2024.08.128
