Name:,Ricardo Amaral
Email:,rna5137@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,447.42,810.93,3.209e-07,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,480.38,810.93,4.339e-07,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,525.03,810.93,8.406e-07,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,605.24,810.93,3.0204e-06,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,601.67,810.93,5.1572e-06,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,697.72,810.93,6.9952e-06,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,955.09,922.04,8.02e-08,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,1013.38,922.04,1.453e-07,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,1001.45,922.04,2.481e-07,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,1107.56,922.04,5.44e-07,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,1094.51,922.04,1.1702e-06,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,1140.86,922.04,4.9109e-06,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
Inconel 718,Ni53.9555 Cr21.1941 Fe17.6562 Nb3.12145 Mo1.81365 Al1.28978 Ti0.969362,None,A+AT,Sheet annealed at 1750 F + Aged at 1320 F,creep rate,EXP,1182.14,922.04,2.29398e-05,None,%/s,P5.33,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,245.07,1019.0,1.76e-08,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,281.21,1019.0,8.91e-08,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,316.19,1019.0,1.754e-07,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,352.2,1019.0,5.062e-07,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,191.97,1033.0,4.5e-09,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,211.05,1033.0,1.09e-08,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,226.81,1033.0,2.42e-08,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,244.49,1033.0,4.53e-08,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,281.4,1033.0,1.885e-07,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,314.52,1033.0,6.319e-07,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,350.33,1033.0,1.7067e-06,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,245.54,1047.0,1.36e-07,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,281.64,1047.0,4.554e-07,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,314.68,1047.0,1.0945e-06,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,140.55,1116.0,5.98e-08,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,175.63,1116.0,8.916e-07,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,210.27,1116.0,6.6238e-06,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,49.63,1366.0,1.48e-08,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
YDNiCrAI,Ni68.5968 Cr16.1846 Al10.0781 O4.37222 Y0.425947 Fe0.178947 N0.0976318 C0.0656866,FCC+Y2O3,PMP+HE+HW+RX,Consolidated by hot extrusion + hot worked + recrystallization,creep rate,EXP,53.08,1366.0,2.147e-07,None,%/s,P5.99,Boyer_1988_AtlasOfCreep
